Параметр;Значение;Описание
max_connections;100;Максимальное количество одновременных подключений к базе данных
shared_buffers;256MB;Объём оперативной памяти, выделяемой для кэширования данных
effective_cache_size;768MB;Оценка объёма памяти, доступной для кэширования на уровне ОС
maintenance_work_mem;64MB;Объём памяти для операций обслуживания (VACUUM, CREATE INDEX)
checkpoint_completion_target;0.9;Целевое время завершения checkpoint для распределения нагрузки
wal_buffers;16MB;Объём памяти для буферизации WAL-записей перед записью на диск
default_statistics_target;100;Количество записей в статистике для оптимизации планировщика запросов
random_page_cost;1.1;Стоимость случайного чтения страницы (снижена для SSD-накопителей)
effective_io_concurrency;200;Количество параллельных операций ввода-вывода для SSD
work_mem;4MB;Объём памяти для сортировок и хэш-таблиц на одну операцию
min_wal_size;80MB;Минимальный размер WAL-файлов перед очисткой
max_wal_size;1GB;Максимальный размер WAL-файлов перед checkpoint
