Критерий;АВ-Вокзал;Яндекс.Путешествия;Tutu.ru;Busfor;RedBus;Автовокзал-Онлайн
Онлайн-бронирование;+;+;+;+;+;+
Электронные билеты с QR-кодами;+;+;+;+;+;-
Мобильное приложение;+;+;+;+;+;-
Система чата водитель-оператор;+;-;-;-;-;-
Отслеживание задержек;+;+;+;+;+;+
Избранные маршруты;+;-;-;-;-;-
Панель администратора;+;+;+;+;+;+
Ролевой доступ (4 роли);+;-;-;-;-;-
Управление расписанием в реальном времени;+;-;-;-;+;+
История поездок;+;+;+;+;+;-
Кроссплатформенность;+;+;+;+;+;-
Тип системы;Единая платформа;Агрегатор;Агрегатор;Специализированный;Международная платформа;Локальное решение
