Компонент;Назначение;Разделы системы, где применяется
Card;Контейнер для группировки контента;Главная страница, каталог маршрутов, профиль, бронирование, оплата, панели администратора/оператора/водителя
Button;Интерактивная кнопка;Все разделы системы (навигация, формы, действия)
DataTable;Таблица с сортировкой, фильтрацией, пагинацией;Каталог маршрутов, расписание, панели администратора/оператора/водителя, профиль
Column;Колонка для DataTable;Все таблицы системы
Dialog;Модальное диалоговое окно;Бронирование, создание/редактирование пользователей, маршрутов, рейсов, задержек
InputText;Текстовое поле ввода;Формы авторизации, регистрации, бронирования, панели управления
Dropdown;Выпадающий список выбора;Выбор роли, метода оплаты, маршрута, рейса
Tag;Визуальная метка (бейдж);Отображение статусов рейсов, ролей пользователей, статусов бронирований
Password;Поле ввода пароля;Страницы входа и регистрации
InputNumber;Поле ввода числовых значений;Указание количества мест при бронировании, цены маршрутов
InputTextarea;Многострочное текстовое поле;Интерфейс чата водителя с оператором
Chart;Графики и диаграммы;Панель администратора (статистика)
PrimeReactProvider;Провайдер конфигурации PrimeReact;Корневой layout приложения
